# Logfile created on 2025-04-22 11:39:09 -0600 by logger.rb/v1.7.0
I, [2025-04-22T11:39:09.967768 #2867164]  INFO -- : Connecting to /dev/ttyUSB0 at baud 9600
I, [2025-04-22T11:41:46.781196 #2872588]  INFO -- : Executing command: green_flash with params: nil
I, [2025-04-22T11:41:46.881415 #2872588]  INFO -- : Response for green_flash: {cmd: :green_flash, cmd_bytes: ["0x28"], msg: :response, hex: ["06 FE"], binary: ["00000110", "11111110"], decoded: "¿~"}
I, [2025-04-22T11:41:50.780641 #2872588]  INFO -- : Executing command: green_off with params: nil
I, [2025-04-22T11:41:50.880870 #2872588]  INFO -- : Response for green_off: {cmd: :green_off, cmd_bytes: ["0x6c"], msg: :response, hex: ["06 FE"], binary: ["00000110", "11111110"], decoded: "¿~"}
I, [2025-04-22T11:41:50.880965 #2872588]  INFO -- : Executing command: yellow_flash with params: nil
I, [2025-04-22T11:41:50.981179 #2872588]  INFO -- : Response for yellow_flash: {cmd: :yellow_flash, cmd_bytes: ["0x7c"], msg: :response, hex: ["06 FE"], binary: ["00000110", "11111110"], decoded: "¿~"}
I, [2025-04-22T11:41:52.023768 #2872588]  INFO -- : Executing command: green_off with params: nil
I, [2025-04-22T11:41:52.124015 #2872588]  INFO -- : Response for green_off: {cmd: :green_off, cmd_bytes: ["0x6c"], msg: :response, hex: ["06 FE"], binary: ["00000110", "11111110"], decoded: "¿~"}
I, [2025-04-22T11:41:52.124151 #2872588]  INFO -- : Executing command: yellow_off with params: nil
I, [2025-04-22T11:41:52.224358 #2872588]  INFO -- : Response for yellow_off: {cmd: :yellow_off, cmd_bytes: ["0x6b"], msg: :response, hex: ["06 FE"], binary: ["00000110", "11111110"], decoded: "¿~"}
I, [2025-04-22T11:41:52.224491 #2872588]  INFO -- : Executing command: red_off with params: nil
I, [2025-04-22T11:41:52.324786 #2872588]  INFO -- : Response for red_off: {cmd: :red_off, cmd_bytes: ["0x6d"], msg: :response, hex: ["06 FE"], binary: ["00000110", "11111110"], decoded: "¿~"}
I, [2025-04-22T11:41:52.324969 #2872588]  INFO -- : Disconnecting from device
I, [2025-04-22T11:41:56.503719 #2872594]  INFO -- : Connecting to /dev/ttyUSB0 at baud 19200
I, [2025-04-22T11:41:56.518859 #2872594]  INFO -- : Setting protocol to usi0
I, [2025-04-22T11:41:56.519014 #2872594]  INFO -- : Executing command: proto_usi0 with params: nil
I, [2025-04-22T11:41:56.619439 #2872594]  INFO -- : Response for proto_usi0: {cmd: :proto_usi0, cmd_bytes: ["0x55", "0x53", "0x49", "0x30"], msg: :response, hex: ["A1 AB A1"], binary: ["10100001", "10101011", "10100001"], decoded: "¿+¿"}
I, [2025-04-22T11:41:56.619599 #2872594]  INFO -- : Executing command: simulate_power_cycle_warm_reset with params: nil
I, [2025-04-22T11:41:57.524457 #2872594]  INFO -- : Response for simulate_power_cycle_warm_reset: {cmd: :simulate_power_cycle_warm_reset, cmd_bytes: ["0x7f"], msg: :power_on_report, hex: ["BA"], binary: ["10111010"], decoded: ":"}
I, [2025-04-22T11:41:57.524512 #2872594]  INFO -- : Retrieving configuration
I, [2025-04-22T11:41:57.524530 #2872594]  INFO -- : Executing command: configuration_request with params: nil
I, [2025-04-22T11:41:57.624761 #2872594]  INFO -- : Response for configuration_request: {cmd: :configuration_request, cmd_bytes: ["0x23"], msg: :response, hex: ["F7"], binary: ["11110111"], decoded: "w"}
I, [2025-04-22T11:41:57.624863 #2872594]  INFO -- : Configuration: {track1_read: true, track2_read: true, track3_read: true, track1_write: true, track2_write: true, track3_write: true, not_used: false, parity: true}
I, [2025-04-22T11:41:57.624906 #2872594]  INFO -- : Executing command: version_report with params: nil
I, [2025-04-22T11:41:57.725212 #2872594]  INFO -- : Response for version_report: {cmd: :version_report, cmd_bytes: ["0x39"], msg: :response, hex: ["32 B0 B6 C1 CD 31 37 31 20 31 32 AD 46 E5 62 AD 32 B0 B0 B9"], binary: ["00110010", "10110000", "10110110", "11000001", "11001101", "00110001", "00110111", "00110001", "00100000", "00110001", "00110010", "10101101", "01000110", "11100101", "01100010", "10101101", "00110010", "10110000", "10110000", "10111001"], decoded: "206AM171 12-Feb-2009"}
I, [2025-04-22T11:41:57.725298 #2872594]  INFO -- : Executing command: green_flash with params: nil
I, [2025-04-22T11:41:57.825519 #2872594]  INFO -- : Response for green_flash: {cmd: :green_flash, cmd_bytes: ["0x28"], msg: :ack_command_completed, hex: ["5E"], binary: ["01011110"], decoded: "^"}
I, [2025-04-22T11:42:03.647677 #2872594]  INFO -- : Executing command: green_off with params: nil
I, [2025-04-22T11:42:03.747938 #2872594]  INFO -- : Response for green_off: {cmd: :green_off, cmd_bytes: ["0x6c"], msg: :ack_command_completed, hex: ["5E"], binary: ["01011110"], decoded: "^"}
I, [2025-04-22T11:42:03.748010 #2872594]  INFO -- : Executing command: yellow_off with params: nil
I, [2025-04-22T11:42:03.848227 #2872594]  INFO -- : Response for yellow_off: {cmd: :yellow_off, cmd_bytes: ["0x6b"], msg: :ack_command_completed, hex: ["5E"], binary: ["01011110"], decoded: "^"}
I, [2025-04-22T11:42:03.848295 #2872594]  INFO -- : Executing command: red_off with params: nil
I, [2025-04-22T11:42:03.948506 #2872594]  INFO -- : Response for red_off: {cmd: :red_off, cmd_bytes: ["0x6d"], msg: :ack_command_completed, hex: ["5E"], binary: ["01011110"], decoded: "^"}
I, [2025-04-22T11:42:03.948574 #2872594]  INFO -- : Disconnecting from device
